date,away,away_pts,home,home_pts
Sat Dec 23 2017,San Antonio Spurs,108,Sacramento Kings,99
Sat Dec 23 2017,Philadelphia 76ers,86,Toronto Raptors,102
Sat Dec 23 2017,Oklahoma City Thunder,103,Utah Jazz,89
Sat Dec 23 2017,Orlando Magic,103,Washington Wizards,130
Mon Dec 25 2017,Washington Wizards,111,Boston Celtics,103
Mon Dec 25 2017,Cleveland Cavaliers,92,Golden State Warriors,99
Mon Dec 25 2017,Minnesota Timberwolves,121,Los Angeles Lakers,104
Mon Dec 25 2017,Philadelphia 76ers,105,New York Knicks,98
Mon Dec 25 2017,Houston Rockets,107,Oklahoma City Thunder,112
Tue Dec 26 2017,Toronto Raptors,93,Dallas Mavericks,98
Tue Dec 26 2017,Utah Jazz,83,Denver Nuggets,107
Tue Dec 26 2017,Indiana Pacers,83,Detroit Pistons,107
Tue Dec 26 2017,Sacramento Kings,95,Los Angeles Clippers,122
Tue Dec 26 2017,Orlando Magic,89,Miami Heat,107
Tue Dec 26 2017,Chicago Bulls,115,Milwaukee Bucks,106
Tue Dec 26 2017,Memphis Grizzlies,97,Phoenix Suns,99
Tue Dec 26 2017,Brooklyn Nets,97,San Antonio Spurs,109
Wed Dec 27 2017,Washington Wizards,99,Atlanta Hawks,113
Wed Dec 27 2017,New York Knicks,87,Chicago Bulls,92
Wed Dec 27 2017,Boston Celtics,102,Charlotte Hornets,91
Wed Dec 27 2017,Utah Jazz,101,Golden State Warriors,126
Wed Dec 27 2017,Dallas Mavericks,98,Indiana Pacers,94
Wed Dec 27 2017,Memphis Grizzlies,109,Los Angeles Lakers,99
Wed Dec 27 2017,Denver Nuggets,125,Minnesota Timberwolves,128
Wed Dec 27 2017,Brooklyn Nets,113,New Orleans Pelicans,128
Wed Dec 27 2017,Toronto Raptors,107,Oklahoma City Thunder,124
Wed Dec 27 2017,Cleveland Cavaliers,95,Sacramento Kings,109
Thu Dec 28 2017,Houston Rockets,98,Boston Celtics,99
Thu Dec 28 2017,Minnesota Timberwolves,96,Milwaukee Bucks,102
Thu Dec 28 2017,Detroit Pistons,89,Orlando Magic,102
Thu Dec 28 2017,Philadelphia 76ers,110,Portland Trail Blazers,114
Thu Dec 28 2017,New York Knicks,107,San Antonio Spurs,119
Fri Dec 29 2017,Indiana Pacers,107,Chicago Bulls,119
Fri Dec 29 2017,Charlotte Hornets,111,Golden State Warriors,100
Fri Dec 29 2017,Los Angeles Clippers,121,Los Angeles Lakers,106
Fri Dec 29 2017,Brooklyn Nets,111,Miami Heat,87
Fri Dec 29 2017,Dallas Mavericks,128,New Orleans Pelicans,120
Fri Dec 29 2017,Milwaukee Bucks,97,Oklahoma City Thunder,95
Fri Dec 29 2017,Phoenix Suns,111,Sacramento Kings,101
Fri Dec 29 2017,Atlanta Hawks,98,Toronto Raptors,111
Fri Dec 29 2017,Houston Rockets,103,Washington Wizards,121
Sat Dec 30 2017,Portland Trail Blazers,89,Atlanta Hawks,104
Sat Dec 30 2017,Philadelphia 76ers,107,Denver Nuggets,102
Sat Dec 30 2017,San Antonio Spurs,79,Detroit Pistons,93
Sat Dec 30 2017,Memphis Grizzlies,128,Golden State Warriors,141
Sat Dec 30 2017,New York Knicks,105,New Orleans Pelicans,103
Sat Dec 30 2017,Miami Heat,117,Orlando Magic,111
Sat Dec 30 2017,Cleveland Cavaliers,101,Utah Jazz,104
Sun Dec 31 2017,Brooklyn Nets,105,Boston Celtics,108
Sun Dec 31 2017,Los Angeles Lakers,142,Houston Rockets,148
Sun Dec 31 2017,Minnesota Timberwolves,107,Indiana Pacers,90
Sun Dec 31 2017,Charlotte Hornets,98,Los Angeles Clippers,106
Sun Dec 31 2017,Dallas Mavericks,116,Oklahoma City Thunder,113
Sun Dec 31 2017,Philadelphia 76ers,123,Phoenix Suns,110
Sun Dec 31 2017,Memphis Grizzlies,114,Sacramento Kings,96
Sun Dec 31 2017,Chicago Bulls,110,Washington Wizards,114
