date	away	home	opening_spread	away_ML	home_ML
20171201	Minnesota	Oklahoma City	-4.5	+160	-185
20171201	Sacramento	Chicago	+1.5	-125	+105
20171201	New Orleans	Utah	+2.5	-135	+115
20171202	Phoenix	Boston	-13	+800	-1250
20171202	Atlanta	Brooklyn	-4	+160	-185
20171202	Memphis	Cleveland	-11.5	+550	-800
20171202	L.A. Lakers	Denver	-5.5	+167	-178
20171202	L.A. Clippers	Dallas	-5	+175	-210
20171202	Detroit	Philadelphia	-5	+175	-210
20171202	Sacramento	Milwaukee	-11.5	+550	-800
20171202	New Orleans	Portland	-4	+225	-245
20171203	Orlando	New York	-1.5	+110	-120
20171203	L.A. Clippers	Minnesota	-11.5	+625	-950
20171203	Golden State	Miami	+10.5	-475	+420
20171203	San Antonio	Oklahoma City	-4.5	+155	-175
20171203	Houston	L.A. Lakers	+11	-900	+600
20171204	New York	Indiana	-9.5	+420	-475
20171204	Phoenix	Philadelphia	-10.5	+500	-700
20171204	Brooklyn	Atlanta	-2	+110	-130
20171204	Minnesota	Memphis	+2	-145	+125
20171204	Denver	Dallas	-2.5	+130	-150
20171204	Orlando	Charlotte	-8	+265	-325
20171204	Milwaukee	Boston	-6	+185	-225
20171204	Cleveland	Chicago	+9	-430	+345
20171204	Golden State	New Orleans	+9.5	-430	+345
20171204	Detroit	San Antonio	-3.5	+145	-165
20171204	Washington	Utah	-3	+130	-150
20171205	Phoenix	Toronto	-13.5	+700	-1100
20171205	Utah	Oklahoma City	-7	+255	-280
20171205	Washington	Portland	-5.5	+190	-230
20171206	Atlanta	Orlando	-6	+205	-245
20171206	Sacramento	Cleveland	-12.5	+700	-1100
20171206	Dallas	Boston	-9	+325	-400
20171206	Golden State	Charlotte	+5	-210	+175
20171206	Miami	San Antonio	-7.5	+275	-335
20171206	Chicago	Indiana	-9.5	+360	-450
20171206	Memphis	New York	-2.5	+120	-140
20171206	Denver	New Orleans	-4	+160	-185
20171206	Detroit	Milwaukee	-3	+130	-150
20171206	Minnesota	L.A. Clippers	+5.5	-225	+185
20171207	L.A. Lakers	Philadelphia	-8	+260	-320
20171207	Oklahoma City	Brooklyn	+7.5	-300	+250
20171207	Washington	Phoenix	+7.5	-350	+290
20171207	Houston	Utah	+5	-225	+185
20171208	Chicago	Charlotte	-11	+380	-475
20171208	Denver	Orlando	-1	+105	-125
20171208	Sacramento	New Orleans	-7.5	+255	-310
20171208	Toronto	Memphis	+5	-225	+185
20171208	Cleveland	Indiana	+2	-165	+145
20171208	Golden State	Detroit	+5.5	-220	+180
20171208	Dallas	Milwaukee	-5	+210	-250
20171208	Boston	San Antonio	-1	+110	-130
20171209	Washington	L.A. Clippers	+2.5	-140	+130
20171209	L.A. Lakers	Charlotte	-5.5	+175	-190
20171209	Philadelphia	Cleveland	-5	+260	-320
20171209	Utah	Milwaukee	-3	+135	-155
20171209	Oklahoma City	Memphis	+5	-200	+170
20171209	Miami	Brooklyn	+2	-130	+110
20171209	Orlando	Atlanta	-2	+160	-185
20171209	New York	Chicago	+4	-170	+150
20171209	San Antonio	Phoenix	+8.5	-280	+255
20171209	Houston	Portland	+9	-390	+320
20171210	Toronto	Sacramento	+7	-290	+245
20171210	Denver	Indiana	-6.5	+220	-260
20171210	Philadelphia	New Orleans	-4.5	+155	-175
20171210	Boston	Detroit	+1	-117	-103
20171210	Dallas	Minnesota	-8	+300	-360
20171210	Atlanta	New York	-6	+210	-250
20171211	Boston	Chicago	+7.5	-290	+245
20171211	New Orleans	Houston	-12	+525	-750
20171211	Portland	Golden State	-11.5	+485	-670
20171211	Miami	Memphis	-1.5	+105	-125
20171211	Charlotte	Oklahoma City	-6	+225	-265
20171211	Toronto	L.A. Clippers	+5.5	-210	+175
20171212	Atlanta	Cleveland	-11	+525	-750
20171212	L.A. Lakers	New York	-3.5	+145	-155
20171212	San Antonio	Dallas	+6	-240	+200
20171212	Denver	Detroit	-7	+240	-280
20171212	Washington	Brooklyn	+3	-145	+135
20171212	Philadelphia	Minnesota	-6.5	+185	-225
20171212	Phoenix	Sacramento	-4	+165	-175
20171213	L.A. Clippers	Orlando	-1.5	+105	-125
20171213	Oklahoma City	Indiana	-1.5	+103	-123
20171213	Portland	Miami	-2.5	+130	-150
20171213	Milwaukee	New Orleans	-2	+115	-135
20171213	Memphis	Washington	-7	+250	-300
20171213	Denver	Boston	-7.5	+270	-330
20171213	Utah	Chicago	+4	-170	+150
20171213	Toronto	Phoenix	+10.5	-750	+525
20171213	Charlotte	Houston	-12.5	+575	-850
20171214	Detroit	Atlanta	+4	-155	+135
20171214	L.A. Lakers	Cleveland	-10	+400	-500
20171214	New York	Brooklyn	0	+105	-125
20171214	Sacramento	Minnesota	-10	+360	-450
20171214	Dallas	Golden State	-12	+550	-800
20171215	Detroit	Indiana	-4.5	+160	-185
20171215	L.A. Clippers	Washington	-9.5	+380	-475
20171215	Oklahoma City	Philadelphia	-2	+105	-125
20171215	Brooklyn	Toronto	-11	+540	-660
20171215	Atlanta	Memphis	-6.5	+190	-230
20171215	Miami	Charlotte	-5	+180	-220
20171215	Portland	Orlando	+3.5	-160	+140
20171215	Utah	Boston	-5.5	+190	-230
20171215	Chicago	Milwaukee	-8	+270	-330
20171215	New Orleans	Denver	-1	-102	-118
20171215	San Antonio	Houston	-7.5	+250	-300
20171216	Portland	Charlotte	-3	+125	-145
20171216	Oklahoma City	New York	+2.5	-140	+120
20171216	Phoenix	Minnesota	-11.5	+585	-725
20171216	Dallas	San Antonio	-8.5	+275	-335
20171216	Utah	Cleveland	-8.5	+525	-750
20171216	L.A. Clippers	Miami	-6	+195	-235
20171216	Milwaukee	Houston	-10.5	+525	-750
20171216	Boston	Memphis	+5	-185	+170
20171217	Sacramento	Toronto	-12.5	+600	-900
20171217	Indiana	Brooklyn	+3	-145	+125
20171217	Orlando	Detroit	-10.5	+425	-550
20171217	Cleveland	Washington	+1.5	-102	-118
20171218	New York	Charlotte	-6.5	+190	-210
20171218	Miami	Atlanta	+2.5	-130	+110
20171218	Denver	Oklahoma City	-4	+175	-190
20171218	Portland	Minnesota	-2.5	+130	-140
20171218	L.A. Clippers	San Antonio	-11.5	+570	-705
20171218	Boston	Indiana	+1.5	-130	+110
20171218	Philadelphia	Chicago	+1.5	-135	+115
20171218	Utah	Houston	-12	+525	-750
20171218	Phoenix	Dallas	-6	+210	-230
20171218	Golden State	L.A. Lakers	+6.5	-240	+200
20171219	New Orleans	Washington	-4.5	+165	-190
20171219	Sacramento	Philadelphia	-9	+295	-355
20171219	Cleveland	Milwaukee	+1	-123	+103
20171220	Toronto	Charlotte	+1	-120	+110
20171220	Indiana	Atlanta	+4.5	-170	+160
20171220	Utah	Oklahoma City	-7.5	+240	-280
20171220	Orlando	Chicago	-5	+185	-200
20171220	Minnesota	Denver	-2.5	+115	-125
20171220	Memphis	Golden State	-10.5	+475	-650
20171220	Sacramento	Brooklyn	-5.5	+170	-200
20171220	Miami	Boston	-8	+295	-325
20171220	L.A. Lakers	Houston	-14	+1000	-1200
20171220	Detroit	Dallas	+2	-117	-103
20171220	San Antonio	Portland	+1	+103	-113
20171220	Phoenix	L.A. Clippers	-4	+165	-175
20171221	Toronto	Philadelphia	+3.5	-160	+150
20171221	Boston	New York	+2.5	-135	+115
20171221	Chicago	Cleveland	-11.5	+475	-650
20171221	Memphis	Phoenix	0	-130	+110
20171221	San Antonio	Utah	+3	-165	+145
20171222	New York	Detroit	-6	+210	-250
20171222	Washington	Brooklyn	+5	-210	+175
20171222	Atlanta	Oklahoma City	-10.5	+540	-660
20171222	Charlotte	Milwaukee	-4.5	+175	-210
20171222	New Orleans	Orlando	+4	-220	+180
20171222	Dallas	Miami	0	-102	-118
20171222	L.A. Clippers	Houston	-11.5	+575	-850
20171222	Denver	Portland	-1	+105	-125
20171222	L.A. Lakers	Golden State	-10	+450	-525
20171223	Philadelphia	Toronto	-8.5	+350	-440
20171223	Brooklyn	Indiana	-10.5	+475	-650
20171223	Chicago	Boston	-7	+240	-280
20171223	New Orleans	Miami	+5.5	-240	+200
20171223	Oklahoma City	Utah	0	-102	-118
20171223	Minnesota	Phoenix	+7.5	-310	+255
20171223	Orlando	Washington	-11.5	+550	-800
